TransE;9.6551724138;90.3448275862;0.836922305764411;0.8444792802617231;0.8406708453900469
TransH;9.6551724138;90.3448275862;0.49059649122807014;0.4921483097055616;0.49136893965597234
RotatE;9.6551724138;90.3448275862;0.8766115288220551;0.8846919302071974;0.8806195533883934
PairRE;9.6551724138;90.3448275862;0.8947268170426066;0.9031215921483098;0.8988906417405538
TransD;9.6551724138;90.3448275862;0.8068872180451127;0.8141630316248636;0.8104963007331044
TransR;9.6551724138;90.3448275862;0.861674185463659;0.8696701199563796;0.8656402642212979
HolE;9.6551724138;90.3448275862;0.8729523809523808;0.8809978189749182;0.8769430641909277
CrossE;9.6551724138;90.3448275862;0.7400200501253132;0.7459651035986914;0.7429697056615234
DistMA;9.6551724138;90.3448275862;0.5814736842105264;0.5845419847328245;0.5829977137940052
ERMLP;9.6551724138;90.3448275862;0.6237293233082708;0.6275218102508179;0.6256122560888162
QuatE;9.6551724138;90.3448275862;0.876922305764411;0.8850872410032714;0.8809721858997612
RESCAL;9.6551724138;90.3448275862;0.5077593984962406;0.5096237731733915;0.5086867391616121
SE;9.6551724138;90.3448275862;0.7716290726817042;0.7780261723009814;0.774802804187722
UM;9.6551724138;90.3448275862;0.7862355889724311;0.7928844056706652;0.7895340695310324
